Player,Position
Bart Verbruggen,GK
Lutsharel Geertruida,DF
Virgil van Dijk,DF
Nathan Aké,DF
Stefan de Vrij,DF
Jeremie Frimpong,DF
Micky van de Ven,DF
Denzel Dumfries,DF
Xavi Simons,MF
Georginio Wijnaldum,MF
Tijjani Reijnders,MF
Joey Veerman,MF
Jerdy Schouten,MF
Wout Weghorst,FW
Memphis,FW
Cody Gakpo,FW
Donyell Malen,FW
Wojciech Szczęsny,GK
Łukasz Skorupski,GK
Bartosz Salamon,DF
Paweł Dawidowicz,DF
Jan Bednarek,DF
Jakub Kiwior,DF
Bartosz Bereszyński,DF
Jakub Piotrowski,MF
Jakub Moder,MF
Piotr Zieliński,MF
Kamil Grosicki,MF
Taras Romanchuk,MF
Przemysław Frankowski,MF
Sebastian Szymański,MF
Nicola Zalewski,MF
Bartosz Slisz,MF
Michał Skóraś,MF
Kacper Urbanski,MF
Karol Świderski,FW
Robert Lewandowski,FW
Adam Buksa,FW
Krzysztof Piątek,FW
Dominik Livaković,GK
Josip Stanišić,DF
Marin Pongračić,DF
Joško Gvardiol,DF
Josip Šutalo,DF
Borna Sosa,DF
Josip Juranović,DF
Lovro Majer,MF
Mateo Kovačić,MF
Luka Modrić,MF
Marcelo Brozović,MF
Mario Pašalić,MF
Luka Ivanušec,MF
Luka Sučić,MF
Martin Baturina,MF
Andrej Kramarić,FW
Ivan Perišić,FW
Ante Budimir,FW
Bruno Petković,FW
Koen Casteels,GK
Zeno Debast,DF
Arthur Theate,DF
Wout Faes,DF
Jan Vertonghen,DF
Timothy Castagne,DF
Kevin De Bruyne,MF
Youri Tielemans,MF
Yannick Carrasco,MF
Orel Mangala,MF
Amadou Onana,MF
Leandro Trossard,FW
Romelu Lukaku,FW
Dodi Lukebakio,FW
Johan Bakayoko,FW
Loïs Openda,FW
Jeremy Doku,FW
Mert Günok,GK
Altay Bayındır,GK
Zeki Çelik,DF
Merih Demiral,DF
Samet Akaydın,DF
Abdülkerim Bardakcı,DF
Mert Müldür,DF
Ferdi Kadioglu,DF
Kaan Ayhan,DF
Okay Yokuşlu,MF
Orkun Kökçü,MF
Arda Güler,MF
Hakan Çalhanoğlu,MF
Salih Özcan,MF
İsmail Yüksek,MF
Kerem Aktürkoğlu,FW
Cenk Tosun,FW
Yusuf Yazıcı,FW
Kenan Yıldız,FW
Barış Alper Yılmaz,FW
Yunus Akgün,FW
Yann Sommer,GK
Leonidas Stergiou,DF
Silvan Widmer,DF
Manuel Akanji,DF
Ricardo Rodríguez,DF
Fabian Schär,DF
Remo Freuler,MF
Granit Xhaka,MF
Vincent Sierro,MF
Michel Aebischer,MF
Xherdan Shaqiri,MF
Fabian Rieder,MF
Breel Embolo,FW
Renato Steffen,FW
Steven Zuber,FW
Ruben Vargas,FW
Kwadwo Duah,FW
Dan Ndoye,FW
Zeki Amdouni,FW
Martin Dúbravka,GK
Peter Pekarík,DF
Denis Vavro,DF
Adam Obert,DF
Norbert Gyömbér,DF
Milan Škriniar,DF
Dávid Hancko,DF
Ondrej Duda,MF
László Bénes,MF
Juraj Kucka,MF
Matúš Bero,MF
Stanislav Lobotka,MF
Tomáš Suslov,FW
Róbert Boženík,FW
Lukáš Haraslín,FW
Dávid Strelec,FW
Dávid Ďuriš,FW
Leo Sauer,FW
Ivan Schranz,FW
Péter Gulácsi,GK
Ádám Lang,DF
Attila Szalai,DF
Attila Fiola,DF
Willi Orban,DF
Milos Kerkez,DF
Bendegúz Bolla,DF
Zsolt Nagy,DF
Endre Botka,DF
Márton Dárdai,DF
Ádám Nagy,MF
Dominik Szoboszlai,MF
András Schäfer,MF
László Kleinheisler,MF
Callum Styles,MF
Ádám Martin,FW
Dániel Gazdag,FW
Barnabás Varga,FW
Roland Sallai,FW
Kevin Csoboth,FW
Gianluigi Donnarumma,GK
Giovanni Di Lorenzo,DF
Federico Dimarco,DF
Gianluca Mancini,DF
Matteo Darmian,DF
Riccardo Calafiori,DF
Alessandro Bastoni,DF
Andrea Cambiaso,DF
Nicolò Fagioli,MF
Davide Frattesi,MF
Jorginho,MF
Lorenzo Pellegrini,MF
Bryan Cristante,MF
Nicolò Barella,MF
Michael Folorunsho,MF
Mateo Retegui,FW
Giacomo Raspadori,FW
Federico Chiesa,FW
Gianluca Scamacca,FW
Mattia Zaccagni,FW
Stephan El Shaarawy,FW
Andriy Lunin,GK
Yukhym Konoplia,DF
Oleksandr Svatok,DF
Illia Zabarnyi,DF
Vitaliy Mykolenko,DF
Mykola Matviyenko,DF
Oleksandr Tymchyk,DF
Serhiy Sydorchuk,MF
Taras Stepanenko,MF
Ruslan Malinovskyi,MF
Mykhailo Mudryk,MF
Heorhiy Sudakov,MF
Viktor Tsyhankov,MF
Oleksandr Zinchenko,MF
Volodymyr Brazhko,MF
Mykola Shaparenko,MF
Andriy Yarmolenko,FW
Roman Yaremchuk,FW
Artem Dovbyk,FW
Oleksandr Zubkov,FW
Vladyslav Vanat,FW
Predrag Rajković,GK
Strahinja Pavlović,DF
Nikola Milenković,DF
Nemanja Gudelj,DF
Miloš Veljković,DF
Filip Mladenović,DF
Dušan Tadić,MF
Filip Kostić,MF
Andrija Živković,MF
Srđan Mijailović,MF
Ivan Ilić,MF
Lazar Samardzic,MF
Sergej Milinković-Savić,MF
Mijat Gaćinović,MF
Saša Lukić,MF
Veljko Birmančević,MF
Dušan Vlahović,FW
Luka Jović,FW
Aleksandar Mitrović,FW
Kasper Schmeichel,GK
Joachim Andersen,DF
Jannik Vestergaard,DF
Joakim Mæhle,DF
Andreas Christensen,DF
Victor Bernth Kristiansen,DF
Alexander Bah,DF
Thomas Delaney,MF
Christian Eriksen,MF
Andreas Skov Olsen,MF
Mikkel Damsgaard,MF
Christian Nørgaard,MF
Morten Hjulmand,MF
Pierre Højbjerg,MF
Rasmus Højlund,FW
Kasper Dolberg,FW
