,Player,Position,BTklInt,CTkl,BClr,BSh,BPass,TCmp,LCmp,LAtt,LPrgP,LFTP,CaPrgC,Def_3rd,Mid_3rd,Att_3rd,Live,PrgC,PrgP,90s,ADWonp,ADWon
0,James Abankwah,centre-back,0.02040816326530612,0.0,0.14285714285714288,0.28571428571428575,0.28571428571428575,0.029811719979701196,0.02197802197802198,0.043731778425655975,0.0,0.0,0.0,0.058646616541353384,0.02422360248447205,0.0,0.04010980700758846,0.0,0.0,0.0,0.28571428571428575,0.08571428571428572
1,Yunis Abdelhamid,centre-back,0.05637065637065637,0.06324324324324324,0.0627027027027027,0.07297297297297298,0.10270270270270271,0.04119534671042889,0.032224532224532226,0.046166574738003306,0.1089527027027027,0.10472972972972974,0.10810810810810811,0.046429587482219065,0.04494712103407755,0.12466216216216215,0.047859285537099304,0.10810810810810811,0.4358108108108108,0.0,0.0034909909909909918,0.0754054054054054
2,Francesco Acerbi,centre-back,0.03929899097185342,0.0446096654275093,0.06319702602230484,0.06691449814126395,0.026022304832713755,0.04911476981732258,0.04260794967114671,0.045975267430392236,0.06970260223048327,0.07992565055762083,0.1449814126394052,0.050361964390530235,0.04267011475674802,0.23280669144981414,0.05060041718617163,0.1449814126394052,0.2788104089219331,0.0,0.0048327137546468404,0.08698884758364311
3,Tosin Adarabioyo,centre-back,0.034482758620689655,0.041379310344827586,0.1206896551724138,0.06465517241379311,0.021551724137931036,0.04171346652521171,0.045092838196286476,0.0588494018296974,0.07677801724137931,0.10344827586206898,0.06896551724137932,0.05281306715063521,0.0411544227886057,0.07435344827586207,0.047925827331750964,0.06896551724137932,0.30711206896551724,0.0,0.0059837728194726165,0.07629310344827586
4,Emmanuel Agbadou,centre-back,0.055525606469002696,0.09509433962264151,0.08075471698113208,0.052830188679245285,0.06037735849056604,0.043887549032861246,0.05863570391872279,0.06561417019638043,0.09268867924528303,0.10566037735849057,0.05660377358490566,0.05070506454816286,0.043166529942575874,0.12311320754716981,0.04886147065666229,0.05660377358490566,0.3707547169811321,0.0,0.004716981132075472,0.06792452830188679
5,Nayef Aguerd,centre-back,0.03631961259079903,0.04406779661016949,0.08926553672316384,0.13559322033898308,0.011299435028248588,0.03070692392287484,0.03563667970447632,0.05845728121757177,0.02648305084745763,0.05225988700564972,0.011299435028248588,0.05022301516503122,0.026381724392041266,0.07415254237288135,0.038596381397825105,0.011299435028248588,0.10593220338983052,0.0,0.0057393955699040445,0.05423728813559322
6,Joseph Aidoo,centre-back,0.03375874845615479,0.0276657060518732,0.08645533141210374,0.040345821325648415,0.034582132564841495,0.03989503971927305,0.03613389492352028,0.04305122625419043,0.05133285302593659,0.05979827089337175,0.043227665706051875,0.050690125891096616,0.03525873950632752,0.04971181556195965,0.04320068777214363,0.043227665706051875,0.20533141210374636,0.0,0.002881844380403458,0.05446685878962535
7,Emanuel Aiwum,centre-back,0.06211180124223603,0.10760869565217392,0.05652173913043479,0.08695652173913045,0.06521739130434782,0.03185870939537757,0.016722408026755856,0.03227595385980479,0.046875,0.06521739130434782,0.1032608695652174,0.04342105263157895,0.03204158790170133,0.10394021739130435,0.03900672093762946,0.1032608695652174,0.1875,0.0,0.006763285024154591,0.04565217391304348
8,Kristoffer Ajer,centre-back,0.030252100840336135,0.06352941176470588,0.05176470588235294,0.05882352941176471,0.011764705882352941,0.027641994241251196,0.020814479638009052,0.028811524609843937,0.06838235294117646,0.05882352941176471,0.11764705882352942,0.034179566563467496,0.025626598465473147,0.2823529411764706,0.03488561246043835,0.11764705882352942,0.27352941176470585,0.0,0.013574660633484162,0.052941176470588235
9,Manuel Akanji,centre-back,0.029246344206974126,0.05433070866141732,0.02598425196850394,0.03543307086614174,0.07086614173228348,0.0683762669229234,0.03543307086614174,0.04001285553591515,0.08562992125984252,0.1377952755905512,0.09448818897637797,0.05066307501036055,0.0640876412187607,0.25984251968503935,0.06327518764587534,0.09448818897637797,0.3425196850393701,0.0,0.0031772344246442877,0.02716535433070866
