Player,90s,Cmp,Att,PrgDist,Crs,SCA,PassLive,Def,Tkl,TklW,Int,Tkl+Int
Arlind Ajeti,3.0,93,112,533,0,2,2,0,1,0,6,7
Manuel Akanji,5.3,304,331,2036,0,7,7,0,2,2,4,6
Samet Akaydın,3.7,185,206,1350,0,4,4,0,8,4,7,15
Nathan Aké,5.2,239,274,1238,1,5,4,1,7,5,6,13
Joachim Andersen,4.0,249,298,1453,5,4,4,0,5,1,2,7
Waldemar Anton,0.4,20,24,151,0,2,2,0,0,0,0,0
Kaan Ayhan,4.0,156,179,826,1,13,9,2,6,3,2,8
Alexander Bah,3.1,127,164,730,6,8,4,1,4,4,5,9
Jure Balkovec,1.3,24,37,190,1,1,1,0,6,3,2,8
Iván Balliu,1.0,33,43,190,0,0,0,0,0,0,2,2
Nicușor Bancu,3.0,103,139,687,5,7,6,0,2,2,0,2
Abdülkerim Bardakcı,4.0,182,211,1299,1,7,7,0,4,2,2,6
Alessandro Bastoni,4.0,306,333,1760,1,5,5,0,5,2,1,6
Jan Bednarek,3.0,89,101,609,0,1,0,0,2,1,3,5
Bartosz Bereszyński,0.1,1,2,0,1,0,0,0,0,0,0,0
Victor Bernth Kristiansen,1.7,72,92,252,4,3,2,0,4,3,0,4
Jaka Bijol,4.3,107,130,910,1,2,2,0,11,6,6,17
Daley Blind,0.0,0,0,0,0,0,0,0,0,0,0,0
Bendegúz Bolla,2.3,45,63,233,8,3,3,0,4,3,1,5
Endre Botka,1.0,37,45,205,0,2,1,1,3,1,1,4
David Brekalo,0.0,1,1,11,0,0,0,0,0,0,0,0
Andrei Burcă,4.0,113,141,882,1,3,2,0,4,2,1,5
Riccardo Calafiori,3.0,215,232,1068,1,8,7,0,3,1,6,9
Andrea Cambiaso,0.8,38,48,91,5,2,2,0,4,4,0,4
João Cancelo,3.8,224,259,899,9,14,8,0,6,4,4,10
Dani Carvajal,4.2,229,253,867,6,10,10,0,5,2,6,11
Timothy Castagne,4.0,187,221,940,5,2,2,0,1,1,2,3
Zeki Çelik,1.2,44,55,255,6,6,4,0,3,0,0,3
Andreas Christensen,3.9,218,231,1163,0,0,0,0,4,2,6,10
Vladimír Coufal,3.0,103,149,840,22,14,7,0,5,4,2,7
Marc Cucurella,5.1,289,323,1107,4,13,12,1,12,9,6,18
Diogo Dalot,1.7,91,100,290,3,6,4,0,1,1,1,2
Kevin Danso,2.4,147,169,921,0,3,3,0,0,0,0,0
Márton Dárdai,1.9,66,95,733,0,2,2,0,4,1,0,4
Matteo Darmian,1.8,97,107,403,1,2,2,0,1,1,1,2
Paweł Dawidowicz,2.0,74,79,443,0,0,0,0,1,0,0,1
Zeno Debast,1.2,97,109,719,0,1,1,0,3,1,0,3
Merih Demiral,2.3,82,94,423,2,1,1,0,2,2,4,6
Giovanni Di Lorenzo,4.0,285,323,1190,2,4,4,0,13,9,6,19
Rúben Dias,4.7,382,411,2032,3,3,3,0,2,1,3,5
Federico Dimarco,2.5,99,125,396,12,4,3,0,4,2,2,6
Berat Djimsiti,3.0,127,144,696,0,3,2,0,1,0,2,3
David Doudera,1.0,18,24,126,1,0,0,0,3,2,0,3
Radu Drăgușin,4.0,90,106,407,0,0,0,0,1,1,6,7
Vanja Drkušič,4.3,84,109,677,1,1,1,0,12,7,1,13
Denzel Dumfries,5.0,220,271,921,18,9,6,1,7,5,3,10
Lasha Dvali,4.0,115,132,787,0,2,1,1,8,3,1,9
Wout Faes,4.0,255,290,1350,0,2,2,0,10,7,4,14
Attila Fiola,2.0,57,73,521,1,2,1,0,3,1,0,3
Jeremie Frimpong,1.0,21,25,29,0,1,1,0,0,0,0,0
Lutsharel Geertruida,1.2,74,81,354,1,3,1,1,4,3,0,4
Álex Grimaldo,1.3,88,102,312,16,8,6,0,1,1,3,4
Nemanja Gudelj,1.0,61,64,275,0,0,0,0,1,0,1,2
Marc Guéhi,5.3,397,423,2061,0,1,1,0,2,2,2,4
Joško Gvardiol,3.0,144,158,468,0,1,1,0,5,3,5,10
Norbert Gyömbér,0.4,35,36,273,1,4,4,0,0,0,1,1
Dávid Hancko,4.1,134,188,891,11,5,3,0,10,5,3,13
Grant Hanley,2.5,112,136,659,0,2,2,0,2,0,1,3
Jack Hendry,2.9,105,131,738,1,0,0,0,2,1,1,3
Benjamin Henrichs,0.1,4,5,83,0,0,0,0,0,0,0,0
Theo Hernández,6.3,354,394,1490,11,11,10,0,10,6,3,13
Tomáš Holeš,3.0,92,121,750,5,5,4,1,10,5,2,12
Robin Hranáč,3.0,74,86,625,0,3,3,0,2,1,0,2
Elseid Hysaj,2.0,48,59,315,3,2,2,0,1,1,0,1
Gonçalo Inácio,1.3,134,150,716,1,4,4,0,2,2,1,3
Erik Janža,3.0,77,114,607,12,6,4,0,4,4,2,6
Josip Juranović,1.0,53,65,247,8,2,2,0,3,3,1,4
David Jurásek,1.8,45,75,269,15,6,6,0,3,2,1,4
Ferdi Kadioglu,5.0,239,277,989,4,17,15,0,18,12,7,25
Otar Kakabadze,4.0,124,171,903,5,8,8,0,12,8,4,16
Žan Karničnik,4.3,143,190,974,5,4,4,0,8,4,8,16
Guram Kashia,4.0,93,114,792,0,0,0,0,7,4,1,8
Milos Kerkez,2.6,47,77,166,14,2,1,0,4,2,0,4
Joshua Kimmich,5.3,363,409,1565,24,27,25,0,7,4,6,13
Jakub Kiwior,3.0,127,153,970,2,5,5,0,7,4,5,12
Yukhym Konoplia,0.8,32,42,137,2,0,0,0,1,0,0,1
Ezri Konsa,1.0,48,50,131,0,0,0,0,2,0,0,2
Jules Koundé,6.3,332,392,1737,22,17,17,0,18,12,2,20
Ladislav Krejčí,3.0,122,143,698,2,8,5,0,3,2,5,8
Solomon Kvirkvelia,2.0,52,61,375,0,0,0,0,4,3,1,5
Ádám Lang,0.5,13,19,121,0,0,0,0,0,0,1,1
Aymeric Laporte,4.8,368,401,1998,2,11,11,0,3,3,5,8
Robin Le Normand,4.0,240,260,1246,0,4,4,0,6,2,2,8
Philipp Lienhart,2.4,113,125,693,0,0,0,0,2,2,2,4
Luka Lochoshvili,1.9,41,57,203,4,2,1,0,4,3,3,7
Gianluca Mancini,1.0,60,66,270,0,0,0,0,0,0,0,0
Mykola Matviyenko,3.0,212,231,1466,1,9,8,0,4,3,4,8
Scott McKenna,1.5,75,93,290,1,1,1,0,1,0,2,3
Nuno Mendes,4.7,322,365,1597,12,8,6,1,12,6,5,17
Nikola Milenković,3.0,212,227,1318,0,2,2,0,3,3,2,5
Mario Mitaj,3.0,127,147,851,2,0,0,0,8,4,7,15
Maximilian Mittelstädt,3.4,182,217,686,24,8,7,0,4,2,2,6
Filip Mladenović,1.2,44,61,115,8,4,2,0,2,1,2,4
Vasile Mogos,0.4,6,6,50,0,0,0,0,0,0,0,0
Mert Müldür,3.8,130,167,598,5,3,3,0,7,6,5,12
Phillipp Mwene,2.2,91,109,400,10,4,2,0,6,4,0,6
Vitaliy Mykolenko,0.6,14,19,98,3,3,3,0,0,0,0,0
Joakim Mæhle,3.1,129,157,530,10,5,3,1,6,4,3,9
Nacho,2.8,124,132,872,0,4,4,0,2,1,0,2
Zsolt Nagy,0.2,4,8,32,2,1,0,0,2,0,0,2
Jesús Navas,1.7,56,71,137,9,3,3,0,3,2,1,4
Adam Obert,0.3,22,27,131,1,2,2,0,1,1,0,1
Willi Orban,3.0,118,138,948,0,3,3,0,7,7,1,8
Strahinja Pavlović,3.0,137,180,553,6,4,4,0,11,6,4,15
Peter Pekarík,4.2,107,121,389,5,9,8,0,1,0,7,8
Pepe,4.5,379,405,2285,0,2,2,0,9,5,5,14
Danilo Pereira,1.0,83,87,642,0,0,0,0,0,0,1,1
Marin Pongračić,2.0,113,124,715,0,0,0,0,2,1,2,4
Ryan Porteous,0.5,19,25,184,0,0,0,0,2,1,0,2
Stefan Posch,4.0,159,215,1010,13,13,10,0,15,9,6,21
Leopold Querfeld,0.3,7,9,47,0,0,0,0,2,2,1,3
Bogdan Racovitan,0.6,23,25,160,0,0,0,0,0,0,1,1
Anthony Ralston,2.9,67,95,273,9,2,2,0,3,2,1,4
Andrei Ratiu,4.0,97,117,567,3,6,4,0,6,5,6,12
David Raum,1.8,75,99,370,7,7,4,0,5,5,0,5
Andrew Robertson,3.0,91,120,446,13,6,3,1,8,5,1,9
Ricardo Rodríguez,5.3,214,250,1081,10,10,10,0,7,6,3,10
Antonio Rüdiger,5.3,372,409,2422,8,8,8,0,8,4,2,10
Adrian Rus,0.2,1,6,8,0,0,0,0,0,0,0,0
Bartosz Salamon,0.9,28,33,106,0,0,0,0,3,2,2,5
William Saliba,6.3,346,360,2052,0,4,3,0,5,2,4,9
Fabian Schär,5.3,211,255,1828,6,7,6,0,10,4,9,19
Nico Schlotterbeck,1.3,79,87,649,0,2,2,0,1,1,2,3
Nélson Semedo,1.1,50,56,120,3,1,1,0,3,2,0,3
Luke Shaw,1.0,58,66,190,5,1,1,0,0,0,1,1
António Silva,0.8,59,66,318,0,1,1,0,1,1,0,1
Milan Škriniar,4.3,257,282,1583,0,6,5,0,3,1,2,5
Borna Sosa,0.1,1,2,6,1,0,0,0,0,0,0,0
Josip Stanišić,2.0,109,133,334,4,5,4,0,10,8,4,14
Leonidas Stergiou,0.5,6,11,62,0,1,0,0,4,2,0,4
Petar Stojanović,3.5,78,107,341,1,5,5,0,6,5,1,7
John Stones,6.7,495,523,2630,0,1,1,0,4,3,1,5
Josip Šutalo,3.0,191,199,938,0,1,0,1,5,3,13,18
Oleksandr Svatok,0.9,24,25,116,0,0,0,0,0,0,3,3
Attila Szalai,1.1,48,59,371,1,1,0,0,2,2,2,4
Jonathan Tah,3.5,266,282,1437,0,6,6,0,2,1,4,6
Arthur Theate,2.8,169,197,925,2,3,3,0,2,2,2,4
Kieran Tierney,1.5,69,92,500,2,0,0,0,2,1,0,2
Gernot Trauner,1.0,74,78,451,0,0,0,0,2,1,1,3
Kieran Trippier,5.0,313,357,1439,13,16,11,0,7,4,5,12
Oleksandr Tymchyk,2.2,66,83,302,8,4,4,0,10,4,3,13
Dayot Upamecano,6.3,339,371,2010,1,6,6,0,9,7,6,15
Virgil van Dijk,6.0,356,394,2661,0,7,6,0,4,2,2,6
Denis Vavro,4.3,213,264,1412,3,3,3,0,2,1,2,4
Miloš Veljković,3.0,206,226,1169,2,2,2,0,2,0,0,2
Micky van de Ven,0.8,33,43,158,1,0,0,0,1,1,0,1
Jan Vertonghen,3.0,196,209,1341,0,1,1,0,4,2,0,4
Jannik Vestergaard,4.0,250,268,1512,0,2,2,0,3,3,4,7
Daniel Vivian,1.4,101,109,728,0,1,1,0,2,2,1,3
Stefan de Vrij,6.0,381,416,2287,1,6,5,0,12,7,2,14
Kyle Walker,6.7,454,512,2192,3,11,9,0,5,2,6,11
Silvan Widmer,3.3,96,127,345,4,1,1,0,2,1,2,4
Maximilian Wöber,1.9,101,118,582,3,5,5,0,4,3,4,8
Illia Zabarnyi,3.0,172,200,1194,0,4,3,1,4,3,1,5
