Player,90s,Gls,Ast,xAG,PrgP,PrgR,Cmp,Att_x,Cmp%,TotDist,PrgDist,KP,1/3,PPA,Crs,TB,Att_y,Succ,Succ%,SCA,PassLive,PassDead,TO,Def,GCA,Tkl,TklW,Int,Tkl+Int
Michel Aebischer,4.0,1,2,1.2,22,15,181,210,86.2,2730,877,6,15,4,3,3,6,1,16.7,9,9,0,0,0,2,3,2,1,4
Trent Alexander-Arnold,1.4,0,0,0.1,10,5,79,96,82.3,1556,522,3,8,2,5,0,4,0,0.0,3,2,0,0,0,0,1,0,2,3
Sandro Altunashvili,0.6,0,0,0.0,1,0,13,16,81.3,139,25,0,1,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
Robert Andrich,2.7,0,0,0.0,13,3,177,195,90.8,2497,666,1,21,2,1,1,0,0,0.0,5,5,0,0,0,0,12,8,2,14
Stuart Armstrong,0.2,0,0,0.0,1,1,7,10,70.0,182,73,0,1,0,3,0,1,1,100.0,0,0,0,0,0,0,1,0,0,1
Kristjan Asllani,3.0,0,0,0.6,10,3,155,189,82.0,3066,822,8,10,3,13,2,3,2,66.7,14,8,4,1,1,1,1,1,3,4
Alex Baena,0.3,0,0,0.1,2,4,11,12,91.7,143,64,1,0,2,0,0,1,0,0.0,2,1,1,0,0,0,1,1,0,1
Nedim Bajrami,2.7,1,0,0.0,5,14,61,80,76.3,942,116,0,4,1,4,1,7,2,28.6,3,2,0,0,0,0,3,1,0,3
Antonín Barák,0.5,0,0,0.0,2,4,20,24,83.3,269,36,1,0,1,1,0,2,1,50.0,4,4,0,0,0,0,1,1,0,1
Nicolò Barella,3.7,1,0,0.3,21,7,239,261,91.6,3795,785,4,25,6,2,1,3,2,66.7,5,5,0,0,0,0,10,5,3,13
Martin Baturina,0.1,0,0,0.0,0,0,2,4,50.0,24,4,0,0,0,0,0,3,3,100.0,2,0,0,2,0,0,1,1,0,1
Christoph Baumgartner,3.2,1,1,0.6,9,18,72,106,67.9,1007,290,6,6,5,6,3,16,8,50.0,10,6,0,3,0,1,4,1,1,5
Jude Bellingham,4.1,2,0,0.3,20,23,184,208,88.5,2764,641,2,15,3,5,2,24,10,41.7,10,10,0,0,0,2,8,6,2,10
