,Player,Position,90s,TCmp,LFTP,LPrgP,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,BTklInt,CTkl%,BClr,ADWon,ADWonp
0,Salis Abdul Samed,defensive midfield,32.2,0.3322981366459627,0.35968379446640314,0.2922705314009662,0.15649694753478569,0.3493909659956014,0.2639751552795031,0.328896776101745,0.09006211180124224,0.10248447204968943,0.10248447204968943,0.12732919254658384,0.0017319636884854275,0.08074534161490683,0.043478260869565216,0.0014025245441795229
1,Laurent Abergel,defensive midfield,26.0,0.29592760180995475,0.3524475524475525,0.3137037037037037,0.27872964526563954,0.3079654295121221,0.1451923076923077,0.32582417582417583,0.08846153846153847,0.05,0.04038461538461538,0.2423076923076923,0.0016304347826086956,0.15000000000000002,0.03076923076923077,0.0013377926421404682
2,Oliver Abildgaard,defensive midfield,6.6,0.10249554367201427,0.16391184573002757,0.12962962962962965,0.1549709496965377,0.1554798962386511,0.15151515151515152,0.18542568542568547,0.015151515151515152,0.030303030303030304,0.09090909090909091,0.11363636363636365,0.006628787878787879,0.25757575757575757,0.7575757575757577,0.010670081092616303
3,Tyler Adams,defensive midfield,24.0,0.27156862745098037,0.2916666666666667,0.32320987654320993,0.19541458778807316,0.3152156290531777,0.26458333333333334,0.32301587301587303,0.02916666666666667,0.07916666666666666,0.0625,0.25833333333333336,0.0027056277056277055,0.12083333333333333,0.10416666666666669,0.0026041666666666665
4,Lucien Agoume,defensive midfield,12.2,0.29845708775313406,0.323397913561848,0.43479052823315123,0.2821822090835797,0.2946992409261976,0.2930327868852459,0.3485558157689306,0.04098360655737705,0.0737704918032787,0.06147540983606557,0.2827868852459017,0.004222553402881273,0.19672131147540986,0.2540983606557377,0.005185680829708933
5,Naouirou Ahamada,defensive midfield,16.5,0.17326203208556148,0.15812672176308543,0.20049382716049383,0.11414933367891315,0.1915693904020752,0.26666666666666666,0.21269841269841272,0.1272727272727273,0.26666666666666666,0.29545454545454547,0.08484848484848485,0.0023715415019762848,0.04242424242424243,0.04242424242424243,0.0017676767676767678
6,Jean-Eudes Aholou,defensive midfield,14.4,0.18259803921568626,0.23421717171717174,0.19804526748971193,0.11347212322800347,0.2512362191958495,0.3368055555555556,0.26421957671957674,0.09722222222222222,0.17361111111111113,0.19270833333333331,0.2013888888888889,0.0026881720430107525,0.10416666666666669,0.18055555555555558,0.004103535353535354
7,Paul Akouokou,defensive midfield,5.0,0.18823529411764706,0.1654545454545455,0.11407407407407408,0.2544547398431931,0.175272373540856,0.08000000000000002,0.22190476190476194,0.06,0.020000000000000004,0.015,0.27999999999999997,0.013000000000000001,0.34,0.12,0.00923076923076923
8,Tomás Alarcón,defensive midfield,2.5,0.18352941176470589,0.2800000000000001,0.20533333333333334,0.09978617248752672,0.20373540856031128,0.25,0.21523809523809528,0.0,0.08000000000000002,0.18,0.1,0.02,0.08000000000000002,0.12,0.03
9,Éder Álvarez Balanta,defensive midfield,2.6,0.14479638009049772,0.2692307692307693,0.26324786324786326,0.18230166127528918,0.17285243938940437,0.16346153846153846,0.2087912087912088,0.11538461538461538,0.11538461538461538,0.0,0.15384615384615385,0.012820512820512818,0.15384615384615385,0.15384615384615385,0.030769230769230767
10,Ibrahim Amadou,defensive midfield,4.7,0.20150187734668332,0.05415860735009672,0.06067769897557132,0.39012147222517096,0.1418370726053481,0.047872340425531915,0.24721377912867276,0.021276595744680854,0.0,0.07978723404255318,0.2127659574468085,0.013539651837524178,0.425531914893617,0.1276595744680851,0.011605415860735008
11,Sofyan Amrabat,defensive midfield,22.2,0.3505564387917329,0.452907452907453,0.4521855188521855,0.16743400563785452,0.37316402005117955,0.28828828828828834,0.35199485199485203,0.05405405405405406,0.16216216216216217,0.08108108108108109,0.13513513513513514,0.0024852438645542093,0.08108108108108109,0.04954954954954955,0.0020645645645645644
