,Player,Position,90s,PSxG,PSxG/SoT,PSxG-GA,LCmp,LAtt,PaAtt,PaThr,PaAvgLen,GKAtt,GKAvgLen,COpp,CStp,SwOPA,SoTA,Saves,Savep,CS,PKsv
0,Álvaro Aceves,goalkeeper,0.1,0.3448275862068966,0.16,0.9310344827586208,0.5,0.5787234042553191,1.0,1.0,1.0,0.6,0.888888888888889,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0
1,Julen Agirrezabala,goalkeeper,7.5,0.25287356321839083,0.016,0.8206896551724139,0.2466666666666667,0.3896737588652482,0.34095238095238095,0.14666666666666667,0.01582360570687419,0.49600000000000005,0.027358024691358025,0.4266666666666667,0.5866666666666667,0.06666666666666667,0.08444444444444443,0.05777777777777778,0.009122807017333335,0.08,0.0
2,Doğan Alemdar,goalkeeper,4.5,0.4980842911877395,0.025777777777777778,0.7931034482758622,0.25555555555555554,0.43082742316784867,0.346031746031746,0.1037037037037037,0.028534370946822308,0.4666666666666666,0.04230452674897119,0.5555555555555556,0.4444444444444445,0.05555555555555556,0.11851851851851851,0.05185185185185185,0.009722222222222222,0.06666666666666667,0.6666666666666666
3,Alisson,goalkeeper,37.0,0.47623485554520045,0.0035675675675675683,0.855824790307549,0.15675675675675677,0.2213225991949396,0.4849420849420849,0.18918918918918917,0.0028288989378483544,0.31297297297297294,0.003133133133133133,0.35765765765765767,0.24864864864864866,0.12027027027027026,0.1324324324324324,0.09459459459459459,0.0019305019305405407,0.11351351351351352,0.08108108108108109
4,Alphonse Areola,goalkeeper,3.4,0.7403651115618661,0.03882352941176471,0.836713995943205,0.20588235294117652,0.3148936170212766,0.25630252100840334,0.13725490196078433,0.03822384985122454,0.5294117647058824,0.03594771241830066,0.4607843137254902,0.23529411764705885,0.014705882352941178,0.1568627450980392,0.08823529411764705,0.016544117647058824,0.08823529411764706,0.0
5,Kepa Arrizabalaga,goalkeeper,28.5,0.42347247428917123,0.004070175438596491,0.8457350272232306,0.11929824561403508,0.21625979843225082,0.43308270676691724,0.1766081871345029,0.003590688784217353,0.3831578947368421,0.004093567251461989,0.3883040935672515,0.21052631578947367,0.0912280701754386,0.14035087719298245,0.10526315789473684,0.0026315789473684214,0.09473684210526315,0.0
6,Sergio Asenjo,goalkeeper,10.0,0.5793103448275863,0.012400000000000001,0.7841379310344828,0.29,0.46876595744680843,0.37142857142857144,0.15333333333333332,0.013929961089494161,0.5519999999999999,0.018962962962962963,0.5533333333333333,0.2,0.085,0.16999999999999998,0.1,0.005882352941,0.03,0.0
7,Emil Audero,goalkeeper,25.0,0.4455172413793103,0.00336,0.8081379310344828,0.31800000000000006,0.5104340425531915,0.408,0.13866666666666666,0.006085603112840467,0.48,0.006548148148148148,0.4746666666666667,0.384,0.046000000000000006,0.16133333333333333,0.10933333333333332,0.0027107438015999998,0.048,0.24
8,Édgar Badía,goalkeeper,36.0,0.6657088122605365,0.0034444444444444444,0.8520114942528737,0.2652777777777778,0.3391962174940898,0.3063492063492063,0.15370370370370368,0.0036964980544747085,0.4933333333333333,0.004290123456790124,0.5314814814814814,0.23333333333333336,0.02777777777777778,0.18518518518518517,0.1259259259259259,0.001888888888888889,0.03333333333333333,0.25
9,Francesco Bardi,goalkeeper,1.0,0.20689655172413793,0.064,0.8896551724137932,0.25,0.2604255319148936,0.18571428571428572,0.16666666666666666,0.13852140077821012,0.54,0.1237037037037037,0.3333333333333333,0.0,0.0,0.13333333333333333,0.13333333333333333,0.1,0.3,0.0
