,Player,Position,90s,xAG,NPxG,LPPA,LPrgP,LKP,LxA,LFTP,CaCPA,Att_Pen,Mid_3rd,Att_3rd,Live,npxG/Sh,SSh,SSoT,ADWon,Off
0,Matthis Abline,centre-forward,10.2,0.05882352941176471,0.17762399077277977,0.07843137254901962,0.09803921568627452,0.06862745098039216,0.04901960784313726,0.07843137254901962,0.08823529411764708,0.2352941176470588,0.3790849673202614,0.2450980392156863,0.2243137254901961,0.17762399077277977,0.29411764705882354,0.09803921568627452,0.05098039215686275,0.11764705882352942
1,Tammy Abraham,centre-forward,24.3,0.08888888888888888,0.2875816993464053,0.13991769547325103,0.22222222222222224,0.1358024691358025,0.11522633744855966,0.07407407407407407,0.06584362139917696,0.22045855379188706,0.5363511659807956,0.29218106995884774,0.3575308641975308,0.2875816993464053,0.2551440329218107,0.11522633744855966,0.13168724279835392,0.09053497942386832
2,Che Adams,centre-forward,22.1,0.0760180995475113,0.1932392866648922,0.09954751131221719,0.15384615384615385,0.1085972850678733,0.0995475113122172,0.09502262443438914,0.04072398190045249,0.19974143503555264,0.4313725490196078,0.3411764705882353,0.3590950226244344,0.1932392866648922,0.21266968325791857,0.06334841628959276,0.11040723981900452,0.12669683257918551
3,Sargis Adamyan,centre-forward,7.2,0.06666666666666667,0.30555555555555564,0.3055555555555556,0.3333333333333333,0.11111111111111112,0.19444444444444442,0.09722222222222222,0.06944444444444445,0.28571428571428564,0.6203703703703703,0.4083333333333334,0.5288888888888889,0.30555555555555564,0.2916666666666667,0.1527777777777778,0.06666666666666667,0.11111111111111112
4,Karim Adeyemi,centre-forward,15.4,0.14415584415584415,0.18067226890756305,0.3246753246753247,0.30519480519480524,0.18181818181818182,0.24025974025974026,0.1103896103896104,0.13636363636363635,0.18089053803339517,0.5194805194805194,0.49870129870129876,0.5412987012987013,0.18067226890756305,0.24025974025974028,0.09090909090909091,0.025974025974025976,0.012987012987012986
5,Felix Afena-Gyan,centre-forward,9.1,0.006593406593406593,0.13510019392372338,0.0,0.08791208791208792,0.03296703296703297,0.02197802197802198,0.03296703296703297,0.03296703296703297,0.13186813186813184,0.47252747252747257,0.34285714285714286,0.3991208791208791,0.13510019392372338,0.2307692307692308,0.02197802197802198,0.07472527472527472,0.13186813186813187
6,Ludovic Ajorque,centre-forward,22.1,0.07058823529411765,0.21080649454351882,0.12669683257918551,0.19909502262443438,0.10407239819004524,0.1085972850678733,0.12217194570135746,0.004524886877828055,0.24434389140271487,0.698340874811463,0.33665158371040727,0.48434389140271494,0.21080649454351877,0.24434389140271492,0.09502262443438914,0.25520361990950224,0.05429864253393665
7,Lucas Alario,centre-forward,3.7,0.0,0.24483306836248017,0.0,0.2162162162162162,0.027027027027027025,0.10810810810810811,0.1081081081081081,0.027027027027027025,0.27799227799227794,0.45945945945945943,0.3297297297297297,0.40648648648648644,0.24483306836248017,0.2972972972972973,0.1081081081081081,0.227027027027027,0.2702702702702703
8,Mohamed Ali Cho,centre-forward,6.5,0.1476923076923077,0.179185520361991,0.3076923076923077,0.12307692307692308,0.1076923076923077,0.24615384615384617,0.09230769230769231,0.2153846153846154,0.1912087912087912,0.5435897435897435,0.4646153846153846,0.5316923076923077,0.179185520361991,0.35384615384615387,0.18461538461538463,0.03076923076923077,0.09230769230769231
9,Julián Álvarez,centre-forward,16.3,0.06625766871165643,0.24612053410321186,0.15950920245398773,0.22699386503067484,0.11042944785276072,0.09815950920245399,0.13496932515337423,0.10429447852760737,0.2340052585451358,0.5214723926380368,0.44171779141104295,0.4809815950920244,0.24612053410321186,0.2822085889570552,0.1226993865030675,0.0196319018404908,0.03680981595092025
10,Agustín Álvarez Martínez,centre-forward,4.1,0.05853658536585367,0.23672883787661414,0.09756097560975611,0.14634146341463417,0.04878048780487806,0.07317073170731708,0.09756097560975611,0.04878048780487806,0.16724738675958187,0.6178861788617886,0.34634146341463423,0.44487804878048776,0.23672883787661414,0.3414634146341464,0.09756097560975611,0.07804878048780489,0.09756097560975611
11,Marcos André,centre-forward,5.0,0.048,0.1682352941176471,0.04000000000000001,0.13999999999999999,0.08000000000000002,0.04,0.08000000000000002,0.0,0.1971428571428571,0.3333333333333333,0.276,0.24000000000000002,0.1682352941176471,0.34,0.04000000000000001,0.08,0.04000000000000001
12,Komnen Andrić,centre-forward,16.1,0.03354037267080745,0.15674095725246623,0.07453416149068323,0.16770186335403725,0.09316770186335403,0.049689440993788817,0.13664596273291926,0.024844720496894408,0.13842058562555454,0.7163561076604554,0.2608695652173913,0.43130434782608684,0.15674095725246623,0.17391304347826086,0.06832298136645963,0.11180124223602483,0.08695652173913043
13,Janis Antiste,centre-forward,0.6,0.0,0.215686274509804,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.07142857142857142,0.5,0.23333333333333336,0.45333333333333337,0.215686274509804,0.16666666666666669,0.16666666666666669,0.13333333333333333,0.0
14,Michail Antonio,centre-forward,20.3,0.03842364532019705,0.21037380469429154,0.07881773399014778,0.1330049261083744,0.07389162561576355,0.03940886699507389,0.059113300492610835,0.08866995073891626,0.16889514426460236,0.4302134646962233,0.30344827586206896,0.30975369458128077,0.21037380469429154,0.1921182266009852,0.06403940886699508,0.09852216748768473,0.11822660098522167
15,Cameron Archer,centre-forward,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2571428571428571,0.5333333333333333,0.28,0.31999999999999995,0.0,0.0,0.0,0.0,0.4
16,Adam Armstrong,centre-forward,14.8,0.052702702702702706,0.09181240063593006,0.13513513513513514,0.1081081081081081,0.07432432432432433,0.05405405405405406,0.08783783783783783,0.07432432432432433,0.1332046332046332,0.39639639639639634,0.3,0.33513513513513515,0.09181240063593006,0.16891891891891891,0.08108108108108109,0.013513513513513514,0.027027027027027025
17,Marko Arnautović,centre-forward,17.0,0.06705882352941175,0.18269896193771631,0.16470588235294117,0.21176470588235297,0.12941176470588237,0.08235294117647059,0.1,0.03529411764705883,0.14369747899159663,0.6372549019607843,0.3,0.4188235294117647,0.18269896193771631,0.16470588235294117,0.08823529411764706,0.023529411764705882,0.12941176470588237
18,Roberto Arroyo,centre-forward,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.21428571428571425,0.5,0.3,0.4,0.0,0.0,0.0,0.0,0.0
19,Arthur,centre-forward,15.9,0.03018867924528302,0.2563817980022198,0.08805031446540881,0.1320754716981132,0.08805031446540881,0.05660377358490566,0.018867924528301886,0.05660377358490566,0.274932614555256,0.3522012578616352,0.3635220125786164,0.33006289308176096,0.2563817980022198,0.3270440251572327,0.12578616352201258,0.12327044025157231,0.025157232704402517
20,Fisnik Asllani,centre-forward,1.9,0.06315789473684211,0.5789473684210528,0.0,0.05263157894736842,0.15789473684210528,0.052631578947368425,0.05263157894736842,0.15789473684210528,0.36090225563909767,0.6315789473684211,0.5578947368421053,0.64,0.5789473684210528,0.4736842105263159,0.0,0.12631578947368421,0.21052631578947367
21,Iago Aspas,centre-forward,31.9,0.10532915360501567,0.17647058823529416,0.29467084639498436,0.5078369905956114,0.2601880877742947,0.16927899686520378,0.2821316614420063,0.09404388714733543,0.1948051948051948,0.6718913270637409,0.46896551724137936,0.5843260188087774,0.17647058823529416,0.23510971786833856,0.09090909090909093,0.03887147335423198,0.07523510971786834
22,Pierre-Emerick Aubameyang,centre-forward,6.3,0.0380952380952381,0.16433239962651733,0.06349206349206349,0.04761904761904762,0.06349206349206349,0.03174603174603175,0.031746031746031744,0.06349206349206349,0.16326530612244897,0.3756613756613757,0.253968253968254,0.2590476190476191,0.16433239962651733,0.2698412698412699,0.11111111111111112,0.01904761904761905,0.0
23,Ezequiel Ávila,centre-forward,19.0,0.053684210526315786,0.14984520123839015,0.26315789473684215,0.20526315789473687,0.09473684210526316,0.1105263157894737,0.12631578947368421,0.031578947368421054,0.137593984962406,0.48245614035087714,0.40315789473684216,0.4597894736842105,0.14984520123839015,0.3368421052631579,0.1105263157894737,0.07368421052631578,0.14736842105263157
24,Taiwo Awoniyi,centre-forward,15.6,0.04230769230769232,0.27375565610859737,0.025641025641025647,0.07692307692307693,0.06410256410256411,0.019230769230769232,0.038461538461538464,0.0576923076923077,0.15109890109890106,0.3782051282051282,0.2602564102564103,0.2861538461538462,0.27375565610859737,0.22435897435897437,0.09615384615384616,0.05128205128205129,0.19230769230769232
25,Jordan Ayew,centre-forward,30.2,0.06357615894039735,0.06856252434748736,0.12582781456953643,0.20860927152317885,0.10264900662251655,0.08609271523178809,0.11258278145695365,0.10264900662251655,0.1390728476821192,0.67439293598234,0.3708609271523179,0.543046357615894,0.06856252434748736,0.10596026490066227,0.033112582781456956,0.06622516556291391,0.026490066225165566
26,Sardar Azmoun,centre-forward,10.3,0.14563106796116504,0.21987435750999432,0.17475728155339806,0.31067961165048547,0.13592233009708737,0.13592233009708737,0.22330097087378642,0.07766990291262137,0.19972260748959775,0.5663430420711975,0.2621359223300971,0.3743689320388349,0.21987435750999432,0.27184466019417475,0.0970873786407767,0.0854368932038835,0.15533980582524273
27,Cédric Bakambu,centre-forward,0.7,0.8571428571428571,0.0,0.0,0.0,0.28571428571428575,1.0,0.14285714285714288,0.14285714285714288,0.18367346938775506,0.7142857142857143,0.34285714285714286,0.5942857142857143,0.0,0.0,0.0,0.2285714285714286,0.0
28,Folarin Balogun,centre-forward,33.3,0.06846846846846848,0.408055113937467,0.11411411411411412,0.1651651651651652,0.10810810810810811,0.0990990990990991,0.08408408408408409,0.13513513513513517,0.2548262548262548,0.3853853853853854,0.31531531531531537,0.3027027027027027,0.408055113937467,0.36336336336336345,0.15015015015015018,0.016816816816816817,0.1741741741741742
29,Patrick Bamford,centre-forward,16.8,0.03571428571428571,0.26960784313725494,0.10714285714285715,0.13690476190476192,0.07142857142857144,0.05357142857142857,0.10714285714285715,0.07738095238095238,0.211734693877551,0.5099206349206349,0.31666666666666665,0.36190476190476195,0.26960784313725494,0.28571428571428575,0.09523809523809523,0.08571428571428572,0.2142857142857143
30,Léo Baptistão,centre-forward,19.2,0.0375,0.16513480392156868,0.13541666666666669,0.265625,0.09375,0.046875,0.15625,0.046875,0.13616071428571427,0.6788194444444445,0.2729166666666667,0.49749999999999994,0.16513480392156868,0.234375,0.08333333333333334,0.05625,0.10416666666666669
31,Alberto Basso,centre-forward,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.21428571428571425,0.0,0.3,0.07999999999999999,0.0,0.5,0.5,0.2,0.0
32,Ihlas Bebou,centre-forward,15.7,0.03821656050955414,0.15661296365680033,0.06369426751592358,0.14649681528662423,0.09554140127388536,0.08917197452229299,0.07006369426751594,0.09554140127388536,0.18835304822565968,0.49893842887473466,0.3668789808917197,0.4259872611464969,0.15661296365680033,0.178343949044586,0.08280254777070065,0.07133757961783439,0.10191082802547771
33,Sheraldo Becker,second striker,28.4,0.11830985915492956,0.14809444904722455,0.3098591549295775,0.15492957746478875,0.15492957746478875,0.19718309859154928,0.07042253521126761,0.15845070422535212,0.1765593561368209,0.3086854460093897,0.42394366197183103,0.3515492957746479,0.14809444904722455,0.2359154929577465,0.09154929577464789,0.022535211267605635,0.17605633802816903
