,Player,Position,PTCrs,PTTB,LxA,LKP,LFTP,LPPA,LPrgP,Att_Pen,TOAtt,TOSucc,CaPrgC,CaCPA,PrgR,90s,npxG,npxG/Sh,SSh,SSoT,Off
0,Zakaria Aboukhlal,right winger,0.04613636363636363,0.0036363636363636364,0.03393939393939394,0.08800000000000002,0.10909090909090909,0.04000000000000001,0.13090909090909092,0.22370370370370374,0.13212121212121214,0.11454545454545455,0.19047619047619047,0.24,0.3345454545454546,27.5,0.10454545454545454,0.10454545454545454,0.27666666666666667,0.10909090909090909,0.07272727272727274
1,Amine Adli,right winger,0.04952830188679245,0.018867924528301886,0.039832285115303984,0.13836477987421386,0.16352201257861634,0.031446540880503145,0.1540880503144654,0.1716748194735616,0.12159329140461216,0.12264150943396225,0.1515423779574723,0.14150943396226415,0.2872117400419287,15.9,0.07861635220125786,0.07861635220125786,0.21331236897274633,0.1069182389937107,0.025157232704402517
2,Kevin Agudelo,right winger,0.06276371308016877,0.021097046413502112,0.036568213783403664,0.129957805907173,0.24472573839662448,0.06540084388185655,0.23206751054852323,0.0928270042194093,0.15330520393811534,0.1582278481012658,0.1790235081374322,0.12025316455696201,0.14064697609001406,23.7,0.015822784810126583,0.015822784810126583,0.10829817158931083,0.029535864978902954,0.008438818565400843
3,Amar Ahmed,left winger,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.16666666666666666,0.375,0.0,0.0,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.0
4,Ángel Alarcón,left winger,0.14583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3055555555555556,0.33333333333333337,0.0
5,Marc Albrighton,right winger,0.4711538461538461,0.038461538461538464,0.05128205128205129,0.25384615384615383,0.23076923076923075,0.09615384615384615,0.1346153846153846,0.07834757834757834,0.025641025641025637,0.05769230769230768,0.08058608058608058,0.0,0.23076923076923075,2.6,0.028846153846153844,0.028846153846153844,0.07051282051282051,0.038461538461538464,0.038461538461538464
6,Iván Alejo,right winger,0.3236301369863014,0.00684931506849315,0.03652968036529681,0.1582191780821918,0.0684931506849315,0.08219178082191782,0.0547945205479452,0.06139015728056824,0.10730593607305935,0.06164383561643836,0.18656229615133726,0.02054794520547945,0.2351598173515982,14.6,0.02054794520547945,0.02054794520547945,0.14440639269406394,0.04109589041095891,0.0136986301369863
7,Faride Alidou,left winger,0.15312499999999998,0.0,0.05,0.16500000000000004,0.4,0.17500000000000002,0.4,0.10185185185185186,0.16666666666666666,0.075,0.20952380952380953,0.3,0.4,2.0,0.0125,0.0125,0.09166666666666667,0.0,0.1
8,Jim Allevinah,left winger,0.11420682730923694,0.0,0.033467202141900944,0.07951807228915664,0.14859437751004018,0.02811244979919679,0.11847389558232933,0.10635133125092966,0.11780455153949129,0.10240963855421688,0.17249952189711226,0.08433734939759036,0.1887550200803213,24.9,0.025100401606425703,0.025100401606425703,0.1104417670682731,0.032128514056224904,0.004016064257028113
9,Miguel Almirón,right winger,0.041064981949458484,0.010830324909747294,0.03610108303249098,0.1032490974729242,0.1624548736462094,0.06498194945848376,0.2238267148014441,0.20296831127156037,0.09506618531889291,0.09205776173285199,0.14560770156438027,0.13537906137184116,0.3176895306859206,27.7,0.07220216606498195,0.07220216606498195,0.2283393501805054,0.07220216606498196,0.03249097472924188
10,Amath,left winger,0.051470588235294115,0.007352941176470589,0.01470588235294118,0.016176470588235296,0.09558823529411765,0.01838235294117647,0.05882352941176471,0.11982570806100219,0.08333333333333333,0.07720588235294118,0.12710084033613447,0.1323529411764706,0.1691176470588235,13.6,0.049632352941176475,0.049632352941176475,0.15502450980392157,0.05147058823529413,0.05147058823529413
11,Felipe Anderson,right winger,0.06648936170212766,0.012158054711246202,0.042553191489361715,0.15714285714285717,0.18541033434650456,0.07142857142857144,0.17325227963525838,0.15974332995609594,0.10638297872340426,0.12310030395136778,0.1321464756115212,0.1413373860182371,0.22695035460992907,32.9,0.04559270516717325,0.04559270516717325,0.11423505572441744,0.06990881458966566,0.021276595744680854
12,Jaidon Anthony,left winger,0.134375,0.014285714285714285,0.026190476190476198,0.09428571428571429,0.17142857142857143,0.06785714285714287,0.17500000000000002,0.09603174603174604,0.11190476190476191,0.08035714285714285,0.11598639455782314,0.1392857142857143,0.17142857142857143,14.0,0.03928571428571429,0.03928571428571429,0.14404761904761906,0.09285714285714286,0.03571428571428572
13,José Antonio,left winger,0.0875,0.0,0.0,0.22000000000000003,0.4,0.1,0.30000000000000004,0.0,0.26666666666666666,0.15,0.20952380952380953,0.0,0.13333333333333333,0.5,0.0,0.0,0.0,0.0,0.0
14,Antony,right winger,0.06999999999999999,0.015,0.04,0.154,0.145,0.0825,0.18500000000000003,0.17314814814814816,0.12833333333333333,0.11249999999999999,0.2488095238095238,0.24,0.28,20.0,0.08249999999999999,0.08249999999999999,0.33,0.12,0.010000000000000002
15,Christopher Antwi-Adjei,left winger,0.1252840909090909,0.009090909090909092,0.057575757575757586,0.16500000000000004,0.07727272727272727,0.06818181818181818,0.08181818181818183,0.11666666666666668,0.1212121212121212,0.10568181818181818,0.1595238095238095,0.13636363636363635,0.35,22.0,0.025,0.025,0.12083333333333333,0.03636363636363637,0.06818181818181818
16,Stredair Appuah,left winger,0.125,0.0,0.04761904761904763,0.4714285714285715,0.0,0.07142857142857144,0.2142857142857143,0.11640211640211641,0.2380952380952381,0.42857142857142855,0.5238095238095238,0.42857142857142855,0.4761904761904762,0.7,0.03571428571428572,0.03571428571428572,0.3928571428571429,0.0,0.0
