,Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
0,1,Altay Bayındır,GK,tr Türkiye,26-081,1998,1,1,90,1.0,3,3.0,3,1,0.0,0,0,1,0,0.0,0,0,0,0,,Matches
1,2,Koen Casteels,GK,be Belgium,32-009,1992,4,4,360,4.0,2,0.5,14,13,85.7,1,1,2,2,50.0,0,0,0,0,,Matches
2,3,Diogo Costa,GK,pt Portugal,24-289,1999,4,4,390,4.3,3,0.69,9,6,77.8,2,1,1,2,50.0,1,1,0,0,0.0,Matches
3,4,Gianluigi Donnarumma,GK,it Italy,25-130,1999,4,4,360,4.0,5,1.25,17,12,70.6,1,1,2,0,0.0,1,0,1,0,100.0,Matches
4,5,Martin Dúbravka,GK,sk Slovakia,35-171,1989,4,4,390,4.3,5,1.15,16,11,75.0,1,1,2,1,25.0,1,1,0,0,0.0,Matches
5,6,Péter Gulácsi,GK,hu Hungary,34-059,1990,3,3,270,3.0,5,1.67,14,9,64.3,1,0,2,1,33.3,0,0,0,0,,Matches
6,7,Angus Gunn,GK,sct Scotland,28-164,1996,3,3,270,3.0,7,2.33,19,12,68.4,0,1,2,0,0.0,1,1,0,0,0.0,Matches
7,8,Mert Günok,GK,tr Türkiye,35-125,1989,3,3,270,3.0,3,1.0,15,12,80.0,3,0,0,0,0.0,0,0,0,0,,Matches
8,9,Matej Kovar,GK,cz Czechia,24-048,2000,1,0,36,0.4,1,2.5,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches
9,10,Dominik Livaković,GK,hr Croatia,29-177,1995,3,3,270,3.0,6,2.0,15,9,60.0,0,2,1,0,0.0,0,0,0,0,,Matches
10,11,Andriy Lunin,GK,ua Ukraine,25-144,1999,1,1,90,1.0,3,3.0,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Matches
11,12,Mike Maignan,GK,fr France,29-001,1995,4,4,360,4.0,1,0.25,12,11,100.0,2,2,0,3,75.0,1,1,0,0,0.0,Matches
12,13,Giorgi Mamardashvili,GK,ge Georgia,23-279,2000,4,4,360,4.0,8,2.0,38,30,78.9,1,1,2,1,25.0,0,0,0,0,,Matches
13,14,Manuel Neuer,GK,de Germany,38-099,1986,4,4,360,4.0,2,0.5,8,7,75.0,3,1,0,2,50.0,0,0,0,0,,Matches
14,15,Florin Niță,GK,ro Romania,37-001,1987,4,4,360,4.0,6,1.5,21,15,71.4,1,1,2,1,25.0,0,0,0,0,,Matches
15,16,Jan Oblak,GK,si Slovenia,31-179,1993,4,4,390,4.3,2,0.46,17,14,88.2,0,4,0,2,50.0,1,0,1,0,100.0,Matches
16,17,Patrick Pentz,GK,at Austria,27-184,1997,4,4,360,4.0,6,1.5,11,6,45.5,2,0,2,0,0.0,0,0,0,0,,Matches
17,18,Jordan Pickford,GK,eng England,30-119,1994,4,4,390,4.3,2,0.46,12,10,83.3,2,2,0,2,50.0,0,0,0,0,,Matches
18,19,Predrag Rajković,GK,rs Serbia,28-247,1995,3,3,270,3.0,2,0.67,10,8,80.0,0,2,1,1,33.3,0,0,0,0,,Matches
19,20,David Raya,GK,es Spain,28-293,1995,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
20,21,Kasper Schmeichel,GK,dk Denmark,37-242,1986,4,4,360,4.0,4,1.0,16,12,81.3,0,3,1,1,25.0,1,1,0,0,0.0,Matches
21,22,Unai Simón,GK,es Spain,27-023,1997,3,3,270,3.0,1,0.33,6,5,83.3,3,0,0,2,66.7,1,0,1,0,100.0,Matches
22,23,Łukasz Skorupski,GK,pl Poland,33-060,1991,1,1,90,1.0,1,1.0,8,7,100.0,0,1,0,0,0.0,1,1,0,0,0.0,Matches
23,24,Yann Sommer,GK,ch Switzerland,35-200,1988,4,4,360,4.0,3,0.75,9,6,66.7,2,2,0,1,25.0,0,0,0,0,,Matches
24,25,Jindřich Staněk,GK,cz Czechia,28-068,1996,3,3,234,2.6,4,1.54,12,9,75.0,0,1,2,0,0.0,1,1,0,0,0.0,Matches
26,26,Thomas Strakosha,GK,al Albania,29-107,1995,3,3,270,3.0,5,1.67,17,13,70.6,0,1,2,0,0.0,0,0,0,0,,Matches
27,27,Wojciech Szczęsny,GK,pl Poland,34-077,1990,2,2,180,2.0,5,2.5,13,8,69.2,0,0,2,0,0.0,1,1,0,0,0.0,Matches
28,28,Anatolii Trubin,GK,ua Ukraine,22-338,2001,2,2,180,2.0,1,0.5,9,8,88.9,1,1,0,1,50.0,0,0,0,0,,Matches
29,29,Bart Verbruggen,GK,nl Netherlands,21-321,2002,4,4,360,4.0,4,1.0,16,13,75.0,2,1,1,2,50.0,0,0,0,0,,Matches
