,Rk,Player,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
0,1,Altay Bayındır,GK,tr Türkiye,26-081,1998,1.0,3,0,0,0,1,1.6,0.54,-0.4,-0.37,3,7,42.9,33,3,21.2,31.2,2,0.0,7.5,8,2,25.0,0,0.0,12.2,Matches
1,2,Koen Casteels,GK,be Belgium,32-009,1992,4.0,2,0,0,0,1,2.7,0.2,1.7,0.43,8,31,25.8,107,19,17.8,27.1,35,34.3,34.7,48,4,8.3,4,1.0,13.8,Matches
2,3,Diogo Costa,GK,pt Portugal,24-289,1999,4.3,3,1,0,0,0,3.2,0.25,0.2,0.06,5,16,31.3,101,21,14.9,28.2,16,6.3,28.0,29,0,0.0,6,1.5,25.9,Matches
3,4,Gianluigi Donnarumma,GK,it Italy,25-130,1999,4.0,5,0,0,0,1,6.0,0.3,2.0,0.49,10,23,43.5,86,16,22.1,26.3,16,25.0,27.1,41,3,7.3,2,0.5,10.1,Matches
4,5,Martin Dúbravka,GK,sk Slovakia,35-171,1989,4.3,5,1,0,0,0,5.0,0.25,0.0,0.01,18,61,29.5,138,20,31.9,30.1,23,73.9,54.7,57,2,3.5,4,1.0,11.8,Matches
5,6,Péter Gulácsi,GK,hu Hungary,34-059,1990,3.0,5,0,0,0,0,5.4,0.39,0.4,0.14,10,30,33.3,83,17,28.9,31.8,14,42.9,39.0,43,1,2.3,1,0.33,10.1,Matches
6,7,Angus Gunn,GK,sct Scotland,28-164,1996,3.0,7,1,0,0,0,5.3,0.24,-1.7,-0.56,28,69,40.6,95,13,51.6,38.1,22,90.9,62.9,45,2,4.4,10,3.33,18.0,Matches
7,8,Mert Günok,GK,tr Türkiye,35-125,1989,3.0,3,0,0,1,0,4.8,0.33,1.8,0.59,11,40,27.5,71,16,39.4,40.1,24,50.0,47.0,62,5,8.1,2,0.67,9.5,Matches
8,9,Matej Kovar,GK,cz Czechia,24-048,2000,0.4,1,0,0,0,0,0.4,0.19,-0.6,-1.55,5,14,35.7,16,2,81.3,48.8,2,50.0,54.5,2,0,0.0,0,0.0,,Matches
9,10,Dominik Livaković,GK,hr Croatia,29-177,1995,3.0,6,0,0,1,0,6.6,0.44,0.6,0.2,10,33,30.3,76,20,36.8,32.7,17,29.4,30.1,35,0,0.0,5,1.67,16.3,Matches
10,11,Andriy Lunin,GK,ua Ukraine,25-144,1999,1.0,3,0,0,1,0,1.4,0.32,-1.6,-1.59,0,0,,20,6,0.0,17.5,4,0.0,20.5,9,0,0.0,1,1.0,10.0,Matches
