,Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
0,1,Che Adams,FW,sct Scotland,27-357,1996,2.3,0,0,0,6,3,1,1,1,1,0,0,0,2,3,8,27.3,Matches
1,2,Michel Aebischer,DF,ch Switzerland,27-180,1997,4.0,0,0,0,1,7,1,3,1,2,0,0,0,19,3,6,33.3,Matches
2,3,Arlind Ajeti,DF,al Albania,30-283,1993,3.0,0,0,0,1,0,0,0,6,0,0,0,0,5,4,9,30.8,Matches
3,4,Manuel Akanji,DF,ch Switzerland,28-351,1995,4.0,0,0,0,1,0,0,0,4,2,0,0,0,19,5,6,45.5,Matches
4,5,Samet Akaydın,DF,tr Türkiye,30-113,1994,2.8,2,0,0,3,0,0,0,7,3,0,0,1,8,9,5,64.3,Matches
5,6,Nathan Aké,DF,nl Netherlands,29-137,1995,3.4,0,0,0,1,0,0,0,4,5,0,0,0,8,3,4,42.9,Matches
6,7,Yunus Akgün,FW,tr Türkiye,23-363,2000,0.8,0,0,0,0,2,0,3,0,1,0,0,0,2,0,0,,Matches
7,8,Kerem Aktürkoğlu,"FW,MF",tr Türkiye,25-257,1998,1.0,0,0,0,2,0,0,2,1,1,0,0,0,6,0,2,0.0,Matches
8,9,Trent Alexander-Arnold,MF,eng England,25-271,1998,1.4,0,0,0,1,3,0,5,2,0,0,0,0,2,1,0,100.0,Matches
9,10,Denis Alibec,FW,ro Romania,33-181,1991,0.3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,,Matches
10,11,Barış Alper Yılmaz,FW,tr Türkiye,24-042,2000,4.0,0,0,0,2,8,1,8,0,0,0,0,0,12,4,7,36.4,Matches
11,12,Sandro Altunashvili,MF,ge Georgia,27-046,1997,0.6,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,,Matches
12,13,Zeki Amdouni,"MF,FW",ch Switzerland,23-213,2000,0.6,0,0,0,1,2,0,0,0,0,0,0,0,4,0,1,0.0,Matches
13,14,Joachim Andersen,DF,dk Denmark,28-034,1996,4.0,1,0,0,8,0,0,5,2,1,0,1,0,9,18,4,81.8,Matches
14,15,Robert Andrich,MF,de Germany,29-286,1994,2.7,1,0,0,8,2,0,1,2,8,0,0,0,9,5,6,45.5,Matches
15,16,Waldemar Anton,DF,de Germany,27-350,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
16,17,Stuart Armstrong,MF,sct Scotland,32-096,1992,0.2,0,0,0,1,0,0,3,0,0,0,0,0,1,1,1,50.0,Matches
17,18,Marko Arnautović,FW,at Austria,35-076,1989,3.1,1,0,0,6,6,3,2,0,1,0,0,0,4,4,7,36.4,Matches
18,19,Jasir Asani,FW,al Albania,29-046,1995,2.3,0,0,0,2,5,1,4,4,1,0,0,0,8,0,2,0.0,Matches
19,20,Kristjan Asllani,MF,al Albania,22-117,2002,3.0,0,0,0,2,4,1,13,3,1,0,0,0,8,0,2,0.0,Matches
20,21,Kaan Ayhan,"MF,DF",tr Türkiye,29-237,1994,3.0,1,0,0,3,4,0,0,1,2,0,0,0,5,6,3,66.7,Matches
21,22,Alex Baena,"MF,FW",es Spain,22-350,2001,0.3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0,Matches
22,23,Alexander Bah,"DF,MF",dk Denmark,26-208,1997,3.1,0,0,0,3,2,0,6,5,4,0,0,0,9,7,3,70.0,Matches
23,24,Nedim Bajrami,"FW,MF",al Albania,25-127,1999,2.7,1,0,0,2,0,2,4,0,1,0,0,0,10,1,1,50.0,Matches
24,25,Johan Bakayoko,"FW,DF",be Belgium,21-075,2003,0.5,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,,Matches
26,26,Jure Balkovec,DF,si Slovenia,29-299,1994,1.3,1,0,0,1,0,0,1,2,3,0,0,0,1,1,2,33.3,Matches
27,27,Iván Balliu,DF,al Albania,32-185,1992,1.0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,,Matches
28,28,Nicușor Bancu,DF,ro Romania,31-290,1992,3.0,2,0,0,4,2,0,5,0,2,0,0,0,10,1,1,50.0,Matches
29,29,Antonín Barák,MF,cz Czechia,29-214,1994,0.5,2,1,1,3,1,0,1,0,1,0,0,0,4,0,2,0.0,Matches
30,30,Bradley Barcola,FW,fr France,21-306,2002,0.7,0,0,0,1,3,0,0,0,4,0,0,0,3,0,0,,Matches
31,31,Abdülkerim Bardakcı,DF,tr Türkiye,29-301,1994,3.0,2,0,0,2,0,0,0,2,1,0,0,0,12,6,5,54.5,Matches
32,32,Nicolò Barella,MF,it Italy,27-148,1997,3.7,1,0,0,5,2,1,2,3,5,0,0,0,14,1,1,50.0,Matches
33,33,Alessandro Bastoni,DF,it Italy,25-082,1999,4.0,0,0,0,3,6,0,1,1,2,0,0,0,24,4,5,44.4,Matches
34,34,Martin Baturina,FW,hr Croatia,21-139,2003,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches
35,35,Christoph Baumgartner,"MF,FW",at Austria,24-338,1999,3.2,1,0,0,4,8,1,6,1,1,0,0,0,14,5,9,35.7,Matches
36,36,Altay Bayındır,GK,tr Türkiye,26-081,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches
37,37,Jan Bednarek,DF,pl Poland,28-083,1996,3.0,0,0,0,2,4,0,0,3,1,0,0,0,8,2,5,28.6,Matches
38,38,Maximilian Beier,FW,de Germany,21-261,2002,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100.0,Matches
39,39,Jude Bellingham,MF,eng England,21-005,2003,4.1,1,0,0,4,9,0,5,2,6,0,0,0,13,2,8,20.0,Matches
