,Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
0,1,Amir Abrashi,MF,al Albania,34-093,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
1,2,Che Adams,FW,sct Scotland,27-351,1996,3,209.0,70.0,77.4,2.3,3,70.0,0,0,,0,0.33,1.0,4.0,-3.0,-1.29,1.66,0.7,2.8,-2.0,-0.88,1.23,Matches
2,3,Michel Aebischer,DF,ch Switzerland,27-174,1997,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.67,5.0,3.0,2.0,0.67,,4.0,3.6,0.5,0.16,,Matches
3,4,Arlind Ajeti,DF,al Albania,30-277,1993,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,5.0,-2.0,-0.67,,2.4,5.7,-3.2,-1.07,,Matches
4,5,Manuel Akanji,DF,ch Switzerland,28-345,1995,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.67,5.0,3.0,2.0,0.67,,4.0,3.6,0.5,0.16,,Matches
5,6,Samet Akaydın,DF,tr Türkiye,30-107,1994,3,254.0,85.0,94.1,2.8,3,85.0,2,0,,0,2.0,5.0,5.0,0.0,0.0,0.0,5.1,4.6,0.5,0.17,1.38,Matches
6,7,Nathan Aké,DF,nl Netherlands,29-131,1995,3,240.0,80.0,88.9,2.7,3,80.0,1,0,,0,1.33,3.0,3.0,0.0,0.0,0.0,3.4,3.1,0.3,0.11,1.02,Matches
7,8,Yunus Akgün,FW,tr Türkiye,23-357,2000,1,69.0,69.0,25.6,0.8,1,69.0,0,0,,2,0.0,0.0,3.0,-3.0,-3.91,-5.26,0.7,1.6,-0.9,-1.23,-1.78,Matches
8,9,Kerem Aktürkoğlu,FW,tr Türkiye,25-251,1998,3,78.0,26.0,28.9,0.9,1,57.0,0,2,11.0,0,2.0,2.0,3.0,-1.0,-1.15,-1.62,2.0,1.9,0.1,0.06,-0.05,Matches
9,10,Trent Alexander-Arnold,MF,eng England,25-265,1998,3,128.0,43.0,47.4,1.4,2,61.0,0,1,7.0,0,1.67,2.0,1.0,1.0,0.7,0.7,0.9,0.4,0.5,0.36,0.04,Matches
10,11,Denis Alibec,FW,ro Romania,33-175,1991,1,10.0,10.0,3.7,0.1,0,,0,1,10.0,2,0.0,0.0,0.0,0.0,0.0,-0.35,0.4,0.3,0.1,1.0,1.08,Matches
11,12,Naser Aliji,"DF,MF",al Albania,30-184,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
12,13,Barış Alper Yılmaz,FW,tr Türkiye,24-036,2000,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,2.0,5.0,5.0,0.0,0.0,,5.1,4.8,0.3,0.09,,Matches
13,14,Sandro Altunashvili,MF,ge Georgia,27-040,1997,1,2.0,2.0,0.7,0.0,0,,0,1,2.0,2,0.0,0.0,1.0,-1.0,-45.0,-45.34,0.2,0.8,-0.5,-24.69,-23.56,Matches
14,15,Zeki Amdouni,"MF,FW",ch Switzerland,23-207,2000,3,54.0,18.0,20.0,0.6,0,,0,3,18.0,0,1.67,1.0,1.0,0.0,0.0,-0.83,1.1,0.9,0.3,0.46,0.36,Matches
15,16,Joachim Andersen,DF,dk Denmark,28-028,1996,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,2.0,2.0,0.0,0.0,,3.2,2.2,0.9,0.31,,Matches
16,17,Robert Andrich,MF,de Germany,29-280,1994,3,180.0,60.0,66.7,2.0,3,60.0,0,0,,0,2.33,5.0,1.0,4.0,2.0,0.0,2.9,1.4,1.5,0.75,-0.93,Matches
17,18,Waldemar Anton,"DF,MF",de Germany,27-344,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
18,19,Alphonse Areola,GK,fr France,31-122,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
19,20,Stuart Armstrong,MF,sct Scotland,32-090,1992,1,15.0,15.0,5.6,0.2,0,,0,1,15.0,2,0.0,0.0,1.0,-1.0,-6.0,-4.59,0.1,0.8,-0.7,-3.96,-2.96,Matches
20,21,Marko Arnautović,FW,at Austria,35-070,1989,3,189.0,63.0,70.0,2.1,2,79.0,0,1,32.0,0,2.0,5.0,3.0,2.0,0.95,0.95,2.6,4.1,-1.4,-0.67,-0.54,Matches
