,Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
0,1,Che Adams,FW,sct Scotland,27-361,1996,2.3,0,2,1,50.0,0.86,0.43,0.0,0.0,14.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
1,2,Michel Aebischer,DF,ch Switzerland,27-184,1997,5.3,1,2,1,50.0,0.38,0.19,0.5,1.0,21.7,0,0,0,0.1,0.1,0.05,0.9,0.9,Matches
2,3,Arlind Ajeti,DF,al Albania,30-287,1993,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3,4,Manuel Akanji,DF,ch Switzerland,28-355,1995,5.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4,5,Samet Akaydın,DF,tr Türkiye,30-117,1994,3.7,1,2,1,50.0,0.54,0.27,0.5,1.0,5.2,0,0,0,0.4,0.4,0.18,0.6,0.6,Matches
5,6,Nathan Aké,DF,nl Netherlands,29-141,1995,4.2,0,2,0,0.0,0.47,0.0,0.0,,10.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
6,7,Yunus Akgün,FW,tr Türkiye,24-001,2000,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7,8,Kerem Aktürkoğlu,"FW,MF",tr Türkiye,25-261,1998,1.2,1,6,2,33.3,5.14,1.71,0.17,0.5,12.0,0,0,0,1.4,1.4,0.24,-0.4,-0.4,Matches
8,9,Trent Alexander-Arnold,"MF,DF",eng England,25-275,1998,1.5,0,4,1,25.0,2.69,0.67,0.0,0.0,28.6,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
9,10,Denis Alibec,FW,ro Romania,33-185,1991,0.3,0,1,0,0.0,3.1,0.0,0.0,,14.1,0,0,0,0.3,0.3,0.34,-0.3,-0.3,Matches
10,11,Barış Alper Yılmaz,FW,tr Türkiye,24-046,2000,5.0,0,4,3,75.0,0.8,0.6,0.0,0.0,15.5,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
11,12,Sandro Altunashvili,MF,ge Georgia,27-050,1997,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
