,Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
0,1,Che Adams,FW,sct Scotland,27-345,1996,2,2,134,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,2,2,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12,Matches
1,2,Michel Aebischer,DF,ch Switzerland,27-168,1997,2,2,180,2.0,1,1,2,1,0,0,0,0,0.1,0.1,0.6,0.6,2,9,4,0.5,0.5,1.0,0.5,1.0,0.03,0.28,0.31,0.03,0.31,Matches
2,3,Arlind Ajeti,DF,al Albania,30-271,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3,4,Manuel Akanji,DF,ch Switzerland,28-339,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
4,5,Samet Akaydın,DF,tr Türkiye,30-101,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
5,6,Nathan Aké,DF,nl Netherlands,29-125,1995,2,2,176,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,6,9,5,0.0,0.51,0.51,0.0,0.51,0.0,0.19,0.19,0.0,0.19,Matches
6,7,Kerem Aktürkoğlu,FW,tr Türkiye,25-245,1998,1,0,6,0.1,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,1,0,0,15.0,0.0,15.0,15.0,15.0,11.68,0.0,11.68,11.68,11.68,Matches
7,8,Trent Alexander-Arnold,MF,eng England,25-259,1998,2,2,121,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,9,4,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.15,0.06,0.15,Matches
8,9,Barış Alper Yılmaz,FW,tr Türkiye,24-030,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,4,1,13,0.0,0.0,0.0,0.0,0.0,0.1,0.52,0.62,0.1,0.62,Matches
9,10,Sandro Altunashvili,MF,ge Georgia,27-034,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
10,11,Zeki Amdouni,"FW,MF",ch Switzerland,23-201,2000,2,0,28,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,4,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.53,0.53,0.53,Matches
11,12,Joachim Andersen,DF,dk Denmark,28-022,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,14,1,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches
12,13,Robert Andrich,MF,de Germany,29-274,1994,2,2,116,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
13,14,Marko Arnautović,FW,at Austria,35-064,1989,2,1,112,1.2,1,0,1,0,1,1,1,0,0.8,0.0,0.0,0.0,1,0,4,0.8,0.0,0.8,0.0,0.0,0.63,0.0,0.63,0.0,0.0,Matches
14,15,Jasir Asani,FW,al Albania,29-034,1995,2,2,130,1.4,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,2,1,6,0.0,0.69,0.69,0.0,0.69,0.03,0.26,0.28,0.03,0.28,Matches
15,16,Kristjan Asllani,MF,al Albania,22-105,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.7,2,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.18,0.37,0.2,0.37,Matches
16,17,Kaan Ayhan,MF,tr Türkiye,29-225,1994,1,1,78,0.9,0,1,1,0,0,0,0,0,0.3,0.3,0.0,0.4,1,7,1,0.0,1.15,1.15,0.0,1.15,0.35,0.05,0.4,0.35,0.4,Matches
